0x240L,FUN_00000240
0x248L,FUN_00000248
0x2ecL,FUN_000002ec
0x304L,FUN_00000304
0x320L,FUN_00000320
0x344L,FUN_00000344
0x38aL,FUN_0000038a
0x3a8L,FUN_000003a8
0x3dcL,FUN_000003dc
0x4d8L,FUN_000004d8
0x4f4L,FUN_000004f4
0x530L,FUN_00000530
0x560L,FUN_00000560
0x5e0L,FUN_000005e0
0x644L,FUN_00000644
0x9acL,FUN_000009ac
0x9b8L,FUN_000009b8
0x9dcL,FUN_000009dc
0x9ecL,FUN_000009ec
0xa5cL,FUN_00000a5c
0xa5eL,FUN_00000a5e
0xb1cL,FUN_00000b1c
0xbd4L,FUN_00000bd4
0xbd8L,FUN_00000bd8
0xbe4L,FUN_00000be4
